,description,link,name,number,website
580,"Topics selected from key current areas of impact of computer technology on aspects of society and ethics such as: freedom versus the rule of law in cyberspace; social discourse; privacy; livelihoods and automation; fairness; security; political change; business models; technology divide. Course Information: 3 undergraduate hours. No graduate credit. May be repeated if topics vary. Credit is not given towards a degree from multiple offerings of this course, if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 225. One of CS 210 or CS 211 or ECE 316 or PHIL 316. One of CS 361 or STAT 400 or STAT 200. Restricted to students with senior standing.",,Topics in Societal Impacts,CS 464,https://docs.google.com/document/d/1cDlgsHrv6QqRUjR_Rw6ArXsX5gUxMzFsSV23L6MEE0M/edit?usp=sharing
581,"Program security, trusted base, privacy, anonymity, non-interference, information flow, confinement, advanced auditing, forensics, intrusion detection, key management and distribution, policy composition and analysis, formal approaches to specification and verification of secure systems and protocols, and topics in applied cryptography. Course Information: Same as ECE 424. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 461. Recommended: CS 475.",,Computer Security II,CS 463,https://gangw.cs.illinois.edu/class/cs463/
582,"Program security, trusted base, privacy, anonymity, non-interference, information flow, confinement, advanced auditing, forensics, intrusion detection, key management and distribution, policy composition and analysis, formal approaches to specification and verification of secure systems and protocols, and topics in applied cryptography. Course Information: Same as ECE 424. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 461. Recommended: CS 475.",,Computer Security II,CS 463,https://gangw.cs.illinois.edu/class/cs463/
583,"Linear system solvers, optimization techniques, interpolation and approximation of functions, solving systems of nonlinear equations, eigenvalue problems, least squares, and quadrature; numerical handling of ordinary and partial differential equations. Course Information: Same as CSE 401, ECE 491, and MATH 450. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both CS 450 and CS 457. Prerequisite: One of CS 101 or CS 125; one of CS 357, MATH 257, MATH 415, or MATH 416; MATH 285.",,Numerical Analysis,CS 450,https://relate.cs.illinois.edu/course/cs450-f21/
584,"Linear system solvers, optimization techniques, interpolation and approximation of functions, solving systems of nonlinear equations, eigenvalue problems, least squares, and quadrature; numerical handling of ordinary and partial differential equations. Course Information: Same as CSE 401, ECE 491, and MATH 450. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both CS 450 and CS 457. Prerequisite: One of CS 101 or CS 125; one of CS 357, MATH 257, MATH 415, or MATH 416; MATH 285.",,Numerical Analysis,CS 450,https://relate.cs.illinois.edu/course/cs450-f21/
585,"Principles and applications of machine learning. Main paradigms and techniques, including discriminative and generative methods, reinforcement learning: linear regression, logistic regression, support vector machines, deep nets, structured methods, dimensionality reduction, k-means, Gaussian mixtures, expectation maximization, Markov decision processes, and Q-learning. Application areas such as natural language and text understanding, speech recognition, computer vision, data mining, and adaptive computer systems, among others. Course Information: Same as ECE 449. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; One of CS 361, ECE 313, MATH 461 or STAT 400.",,Machine Learning,CS 446,https://courses.grainger.illinois.edu/cs446/fa2021/
586,"Principles and applications of machine learning. Main paradigms and techniques, including discriminative and generative methods, reinforcement learning: linear regression, logistic regression, support vector machines, deep nets, structured methods, dimensionality reduction, k-means, Gaussian mixtures, expectation maximization, Markov decision processes, and Q-learning. Application areas such as natural language and text understanding, speech recognition, computer vision, data mining, and adaptive computer systems, among others. Course Information: Same as ECE 449. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; One of CS 361, ECE 313, MATH 461 or STAT 400.",,Machine Learning,CS 446,https://courses.grainger.illinois.edu/cs446/fa2021/
587,"Computer vision techniques to enhance, manipulate, and create media from photo collections, such as panoramic stitching, face morphing, texture synthesis, blending, and 3D reconstruction. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225, MATH 225, and MATH 231.",,Computational Photography,CS 445,https://courses.grainger.illinois.edu/cs445/fa2021/
588,"Computer vision techniques to enhance, manipulate, and create media from photo collections, such as panoramic stitching, face morphing, texture synthesis, blending, and 3D reconstruction. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225, MATH 225, and MATH 231.",,Computational Photography,CS 445,https://courses.grainger.illinois.edu/cs445/fa2021/
589,"Major topics in and directions of research in artificial intelligence: basic problem solving techniques, knowledge representation and computer inference, machine learning, natural language understanding, computer vision, robotics, and societal impacts. Course Information: Same as ECE 448. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",,Artificial Intelligence,CS 440,https://courses.engr.illinois.edu/cs440/fa2021/
590,"Major topics in and directions of research in artificial intelligence: basic problem solving techniques, knowledge representation and computer inference, machine learning, natural language understanding, computer vision, robotics, and societal impacts. Course Information: Same as ECE 448. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",,Artificial Intelligence,CS 440,https://courses.engr.illinois.edu/cs440/fa2021/
591,"Layered architectures and the OSI Reference Model; design issues and protocols in the transport, network, and data link layers; architectures and control algorithms of local-area, point-to-point, and satellite networks; standards in networks access protocols; models of network interconnection; overview of networking and communication software. Course Information: Same as ECE 438. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391; one of ECE 313, MATH 461, MATH 463.",,Communication Networks,CS 438,https://courses.grainger.illinois.edu/cs438/fa2021/
592,"Layered architectures and the OSI Reference Model; design issues and protocols in the transport, network, and data link layers; architectures and control algorithms of local-area, point-to-point, and satellite networks; standards in networks access protocols; models of network interconnection; overview of networking and communication software. Course Information: Same as ECE 438. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391; one of ECE 313, MATH 461, MATH 463.",,Communication Networks,CS 438,https://courses.grainger.illinois.edu/cs438/fa2021/
593,"Provides a foundational view of computer networks with a focus on enabling modern large-scale cloud computing. The first part of this course studies the principles upon which the Internet and other networks are built, and how those principles translate into deployed protocols. The second part covers how those principles are applied in network infrastructure for modern clouds, enabling deployment of virtual networks on shared infrastructure, efficient transfer of big data and low latency communication, and federation of applications across countries and continents. Course Information: 3 undergraduate hours. 4 graduate hours. Credit is not given for both CS 435 and CS 438/ECE 438. Prerequisite: One of CS 240, CS 241 or ECE 391.",,Cloud Networking,CS 435,https://www.coursera.org/learn/cs-435-cn
594,"Provides a foundational view of computer networks with a focus on enabling modern large-scale cloud computing. The first part of this course studies the principles upon which the Internet and other networks are built, and how those principles translate into deployed protocols. The second part covers how those principles are applied in network infrastructure for modern clouds, enabling deployment of virtual networks on shared infrastructure, efficient transfer of big data and low latency communication, and federation of applications across countries and continents. Course Information: 3 undergraduate hours. 4 graduate hours. Credit is not given for both CS 435 and CS 438/ECE 438. Prerequisite: One of CS 240, CS 241 or ECE 391.",,Cloud Networking,CS 435,https://www.coursera.org/learn/cs-435-cn
595,Course Information: Same as ECE 434. See ECE 434.,,Mobile Computing & Application,CS 434,https://courses.grainger.illinois.edu/cs434/
596,A survey of sampled data systems and embedded architecture; key concepts in common embedded system applications; signal processing and control; embedded microprocessor and device interface; time-critical I/O handling; data communications; real-time operating systems and techniques for the development and analysis of embedded real-time software; hands-on laboratory projects. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391. Class Schedule Information: Students must register for one lab and one lecture section.,,Embedded Systems,CS 431,https://wiki.illinois.edu/wiki/display/cs431sp15/CS+431+Spring+2021+Home
597,"Computer hardware design and analysis and interface with software. Advanced processor design, including superscalar, out-of-order issue, branch prediction, and speculation. Memory hierarchy design, including advanced cache optimizations, main memory, and virtual memory. Principles of multiprocessor design, including shared-memory, cache coherence, synchronization, and consistency. Other advanced topics depending on time; e.g., GPUs and accelerators, warehouse computers and data centers, security. Course Information: Same as CSE 422. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 233.",,Computer System Organization,CS 433,https://courses.grainger.illinois.edu/cs433
598,"Computer hardware design and analysis and interface with software. Advanced processor design, including superscalar, out-of-order issue, branch prediction, and speculation. Memory hierarchy design, including advanced cache optimizations, main memory, and virtual memory. Principles of multiprocessor design, including shared-memory, cache coherence, synchronization, and consistency. Other advanced topics depending on time; e.g., GPUs and accelerators, warehouse computers and data centers, security. Course Information: Same as CSE 422. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 233.",,Computer System Organization,CS 433,https://courses.grainger.illinois.edu/cs433
599,Continuation of CS 427. Identical to CS 428 except for the additional writing component. See CS 428. Course Information: 3 undergraduate hours. 3 graduate hours. Prerequisite: CS 427.,,"Software Engineering II, ACP",CS 429,https://wiki.illinois.edu/wiki/display/CS428SP21
600,"Continuation of CS 427. Software development, management, and maintenance. Project and configuration management, collaborative development models, software quality assurance, interoperability domain engineering and software reuse, and software re-engineering. Course Information: Same as CSE 429. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 427.",,Software Engineering II,CS 428,https://wiki.illinois.edu/wiki/display/CS428SP21
601,"Software process, analysis and design. Software development paradigms, system engineering, function-based analysis and design, and object-oriented analysis and design. Course will use team-projects for hands-on exercises. Course Information: Same as CSE 426. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.",,Software Engineering I,CS 427,https://wiki.illinois.edu/wiki/display/CS427FA21
602,"Software process, analysis and design. Software development paradigms, system engineering, function-based analysis and design, and object-oriented analysis and design. Course will use team-projects for hands-on exercises. Course Information: Same as CSE 426. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.",,Software Engineering I,CS 427,https://wiki.illinois.edu/wiki/display/CS427FA21
603,"Supervisory control aspects of Cyber Physical Systems (CPS): fundamentals of reliability analysis, real-time scheduling, simple feedback control, software fault tolerance architecture, wireless networking and energy saving, principles of safety critical system engineering. Student groups design and demonstrate supervisory control architecture for a robot. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.",,Real-Time Systems,CS 424,https://courses.engr.illinois.edu/cs424
604,"Supervisory control aspects of Cyber Physical Systems (CPS): fundamentals of reliability analysis, real-time scheduling, simple feedback control, software fault tolerance architecture, wireless networking and energy saving, principles of safety critical system engineering. Student groups design and demonstrate supervisory control architecture for a robot. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.",,Real-Time Systems,CS 424,https://courses.engr.illinois.edu/cs424
605,"Organization and structure of modern operating systems and concurrent programming concepts. Deadlock, virtual memory, processor scheduling, and disk systems. Performance, security, and protection. Course Information: Same as CSE 423. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391.",,Operating Systems Design,CS 423,https://courses.grainger.illinois.edu/cs423/
606,Exploration of major language design paradigms using imperative and functional programming as unifying themes. Tools include both practical language processor construction and theoretical models. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 421.,,Programming Language Design,CS 422,https://pages.github-dev.cs.illinois.edu/cs421-sp21/web/
607,"Advanced methods for representing, displaying, and rendering two-, three-, and four-dimensional scenes. General algebraic curves and surfaces, splines, Gaussian and bump-function representation, fractals, particle systems, constructive solid geometry methods, lighting models, radiosity, advanced ray-tracing methods, surface texturing animation techniques, data visualization methods. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 418.",,Production Computer Graphics,CS 419,https://courses.grainger.illinois.edu/cs419/
608,"Basic mathematical tools and computational techniques for modeling, rendering, and animating 3-D scenes. Course Information: Same as CSE 427. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; MATH 241. Class Schedule Information: Students will register for a lecture and a discussion section.",,Interactive Computer Graphics,CS 418,https://www.coursera.org/
609,"Basic mathematical tools and computational techniques for modeling, rendering, and animating 3-D scenes. Course Information: Same as CSE 427. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; MATH 241. Class Schedule Information: Students will register for a lecture and a discussion section.",,Interactive Computer Graphics,CS 418,https://www.coursera.org/
610,"Concepts, techniques, and systems of data warehousing and data mining. Design and implementation of data warehouse and on-line analytical processing (OLAP) systems; data mining concepts, methods, systems, implementations, and applications. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",,Introduction to Data Mining,CS 412,https://arindam.cs.illinois.edu/courses/f21cs412/
611,"Concepts, techniques, and systems of data warehousing and data mining. Design and implementation of data warehouse and on-line analytical processing (OLAP) systems; data mining concepts, methods, systems, implementations, and applications. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",,Introduction to Data Mining,CS 412,https://arindam.cs.illinois.edu/courses/f21cs412/
612,"Examination of the logical organization of databases: the entity-relationship model; the hierarchical, network, and relational data models and their languages. Functional dependencies and normal forms. Design, implementation, and optimization of query languages; security and integrity; concurrency control, and distributed database systems. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",,Database Systems,CS 411,https://wiki.illinois.edu/wiki/display/CS411AAFA21
613,"Examination of the logical organization of databases: the entity-relationship model; the hierarchical, network, and relational data models and their languages. Functional dependencies and normal forms. Design, implementation, and optimization of query languages; security and integrity; concurrency control, and distributed database systems. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",,Database Systems,CS 411,https://wiki.illinois.edu/wiki/display/CS411AAFA21
614,Course Information: Same as ECE 407. See ECE 407.,,Cryptography,CS 407,https://soc1024.ece.illinois.edu/teaching/ececs407/fa21/
615,Course Information: Same as ECE 407. See ECE 407.,,Cryptography,CS 407,https://soc1024.ece.illinois.edu/teaching/ececs407/fa21/
616,"The first class in a sequence of two classes that introduces students to the basic concepts in computing with an emphasis on the fundamental techniques for solving computational problems. Topics include: core programming concepts (variables, data types, conditional expressions, loops, functions), basic data structures, searching and sorting algorithms, and data exploration and visualization. No prior programming experience is required. Course Information: No undergraduate credit. 3 graduate hours. Prerequisite: Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",,Accel Fund of Computing I,CS 400,https://compass2g.illinois.edu/webapps/blackboard/execute/launcher?type=Course&id=_61681_1&url=
617,"The first class in a sequence of two classes that introduces students to the basic concepts in computing with an emphasis on the fundamental techniques for solving computational problems. Topics include: core programming concepts (variables, data types, conditional expressions, loops, functions), basic data structures, searching and sorting algorithms, and data exploration and visualization. No prior programming experience is required. Course Information: No undergraduate credit. 3 graduate hours. Prerequisite: Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",,Accel Fund of Computing I,CS 400,https://compass2g.illinois.edu/webapps/blackboard/execute/launcher?type=Course&id=_61681_1&url=
618,"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Course Information: Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.",,Intro to Algs & Models of Comp,CS 374,https://courses.engr.illinois.edu/cs374/
619,"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Course Information: Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.",,Intro to Algs & Models of Comp,CS 374,https://courses.engr.illinois.edu/cs374/
620,"Introduction to probability theory and statistics with applications to computer science. Topics include: visualizing datasets, summarizing data, basic descriptive statistics, conditional probability, independence, Bayes theorem, random variables, joint and conditional distributions, expectation, variance and covariance, central limit theorem. Markov inequality, Chebyshev inequality, law of large numbers, Markov chains, simulation, the PageRank algorithm, populations and sampling, sample mean, standard error, maximum likelihood estimation, Bayes estimation, hypothesis testing, confidence intervals, linear regression, principal component analysis, classification, and decision trees. Course Information: Same as STAT 361. Credit is not given for both CS 361 and ECE 313. Prerequisite: MATH 220 or MATH 221; credit or concurrent registration in one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406. For majors only.",,Prob & Stat for Computer Sci,CS 361,https://courses.grainger.illinois.edu/cs361/fa2021/index.html
621,"Introduction to probability theory and statistics with applications to computer science. Topics include: visualizing datasets, summarizing data, basic descriptive statistics, conditional probability, independence, Bayes theorem, random variables, joint and conditional distributions, expectation, variance and covariance, central limit theorem. Markov inequality, Chebyshev inequality, law of large numbers, Markov chains, simulation, the PageRank algorithm, populations and sampling, sample mean, standard error, maximum likelihood estimation, Bayes estimation, hypothesis testing, confidence intervals, linear regression, principal component analysis, classification, and decision trees. Course Information: Same as STAT 361. Credit is not given for both CS 361 and ECE 313. Prerequisite: MATH 220 or MATH 221; credit or concurrent registration in one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406. For majors only.",,Prob & Stat for Computer Sci,CS 361,https://courses.grainger.illinois.edu/cs361/fa2021/index.html
622,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. Course Information: Same as MATH 357. Credit is not given for CS 357 if credit for CS 450 has been earned. (Counts for advanced hours in LAS). Prerequisite: One of CS 101, CS 105, CS 124, CS 125 or ECE 220; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406.",,Numerical Methods I,CS 357,https://courses.grainger.illinois.edu/cs357/fa2021/
623,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. Course Information: Same as MATH 357. Credit is not given for CS 357 if credit for CS 450 has been earned. (Counts for advanced hours in LAS). Prerequisite: One of CS 101, CS 105, CS 124, CS 125 or ECE 220; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406.",,Numerical Methods I,CS 357,https://courses.grainger.illinois.edu/cs357/fa2021/
624,"Introduction to elementary concepts in algorithms and classical data structures with a focus on their applications in Data Science. Topics include algorithm analysis (ex: Big-O notation), elementary data structures (ex: lists, stacks, queues, trees, and graphs), basics of discrete algorithm design principles (ex: greedy, divide and conquer, dynamic programming), and discussion of discrete and continuous optimization. Course Information: Credit is not given for both CS 277 and CS 225. Prerequisite: STAT 207; one of MATH 220, MATH 221, MATH 234. CS 277 cannot be taken concurrently with CS 225.",,Algo & Data Stru for Data Sci,CS 277,https://courses.grainger.illinois.edu/cs277/fa2021/
625,"Introduction to elementary concepts in algorithms and classical data structures with a focus on their applications in Data Science. Topics include algorithm analysis (ex: Big-O notation), elementary data structures (ex: lists, stacks, queues, trees, and graphs), basics of discrete algorithm design principles (ex: greedy, divide and conquer, dynamic programming), and discussion of discrete and continuous optimization. Course Information: Credit is not given for both CS 277 and CS 225. Prerequisite: STAT 207; one of MATH 220, MATH 221, MATH 234. CS 277 cannot be taken concurrently with CS 225.",,Algo & Data Stru for Data Sci,CS 277,https://courses.grainger.illinois.edu/cs277/fa2021/
626,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Course Information: Credit is not given for both CS 241 and ECE 391. Prerequisite: CS 225 and CS 233. Class Schedule Information: Students must register for one lecture and one discussion section.",,System Programming,CS 241,https://cs241.cs.illinois.edu/
627,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Course Information: Credit is not given for both CS 241 and ECE 391. Prerequisite: CS 225 and CS 233. Class Schedule Information: Students must register for one lecture and one discussion section.",,System Programming,CS 241,https://cs241.cs.illinois.edu/
628,"Basics of computer systems. Number representations, assembly/machine language, abstract models of processors (fetch/execute, memory hierarchy), processes/process control, simple memory management, file I/O and directories, network programming, usage of cloud services. Course Information: Prerequisite: CS 225.",,Intro to Computer Systems,CS 240,https://courses.grainger.illinois.edu/cs240/
629,"Basics of computer systems. Number representations, assembly/machine language, abstract models of processors (fetch/execute, memory hierarchy), processes/process control, simple memory management, file I/O and directories, network programming, usage of cloud services. Course Information: Prerequisite: CS 225.",,Intro to Computer Systems,CS 240,https://courses.grainger.illinois.edu/cs240/
630,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Course Information: Prerequisite: CS 125 or CS 128 and CS 173; credit or concurrent enrollment in CS 225.",,Computer Architecture,CS 233,https://courses.grainger.illinois.edu/cs233/fa2021/index.html
631,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Course Information: Prerequisite: CS 125 or CS 128 and CS 173; credit or concurrent enrollment in CS 225.",,Computer Architecture,CS 233,https://courses.grainger.illinois.edu/cs233/fa2021/index.html
632,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Course Information: Prerequisite: CS 125 or ECE 220; One of CS 173, MATH 213, MATH 347, MATH 412 or MATH 413.  Class Schedule Information: Students must register for one lecture-discussion and one lecture section.",,Data Structures,CS 225,https://courses.grainger.illinois.edu/cs225/
633,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Course Information: Prerequisite: CS 125 or ECE 220; One of CS 173, MATH 213, MATH 347, MATH 412 or MATH 413.  Class Schedule Information: Students must register for one lecture-discussion and one lecture section.",,Data Structures,CS 225,https://courses.grainger.illinois.edu/cs225/
634,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Course Information: Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",,Ethical & Professional Conduct,CS 211,https://canvas.illinois.edu/courses/14574
635,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Course Information: Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",,Ethical & Professional Conduct,CS 211,https://canvas.illinois.edu/courses/14574
636,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Course Information: Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",,Ethical & Professional Issues,CS 210,https://canvas.illinois.edu/courses/14573
637,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Course Information: Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",,Ethical & Professional Issues,CS 210,https://canvas.illinois.edu/courses/14573
638,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Course Information: Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",,Discrete Structures,CS 173,https://courses.grainger.illinois.edu/cs173/fa2021/ALL-lectures/
639,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Course Information: Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",,Discrete Structures,CS 173,https://courses.grainger.illinois.edu/cs173/fa2021/ALL-lectures/
640,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Course Information: Prerequisite: CS 124 or CS 125.,,Intro to Computer Science II,CS 128,https://cs128.org/
641,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Course Information: Prerequisite: CS 124 or CS 125.,,Intro to Computer Science II,CS 128,https://cs128.org/
642,"Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. Course Information: Credit is not given for both CS 242 and CS 126. Prerequisite: CS 125. For majors only.",,Software Design Studio,CS 126,https://courses.grainger.illinois.edu/CS126/
643,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 125 and CS 124. Prerequisite: Three years of high school mathematics or MATH 112. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.,,Intro to Computer Science,CS 125,https://cs125.cs.illinois.edu/
644,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 125 and CS 124. Prerequisite: Three years of high school mathematics or MATH 112. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.,,Intro to Computer Science,CS 125,https://cs125.cs.illinois.edu/
645,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,,Intro to Computer Science I,CS 124,https://www.cs124.org/
646,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,,Intro to Computer Science I,CS 124,https://www.cs124.org/
647,Course Information: Same as INFO 102. See INFO 102.,,Little Bits to Big Ideas,CS 102,https://illinoisedu.instructure.com/courses/399
648,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Course Information: Prerequisite: MATH 220 or MATH 221. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",,Intro Computing: Engrg & Sci,CS 101,go.illinois.edu/cs101
649,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Course Information: Prerequisite: MATH 220 or MATH 221. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",,Intro Computing: Engrg & Sci,CS 101,go.illinois.edu/cs101
650,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Adv. Top. in Robot Perception,CS 598 SHW,https://shenlong.web.illinois.edu/teaching/cs598fall21/
651,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Topics in Comp. Geometry,CS 598 TMC,https://courses.grainger.illinois.edu/cs598tmc/fa2021/
